,f1_ATT,f2_TRT,HV,Temperature,C_epoch_number,L_iteration_per_epoch,A_num_accepted_moves_per_epoch,eps_num_epochs_without_accepting_solution,Route
0,11.4642166344294,107,0.5550163644945071,40,1,0,0,0,6-14-7*8-14-6-9-13*10-12-13*0-1-2-5-7-9-10*9-10-11*12-10-9-7-5-3-4*
1,11.4642166344294,115,0.5550163644945071,40,1,1,0,0,6-14-7*8-14-6-9-13*10-12-13*0-1-2-5-7-9-10*9-10-11*12-10-9-7-5-3-4*
2,11.460992907801419,123,0.5550163644945071,39.92,2,1,0,0,6-14-7*8-14-6-9-13*10-12-13-9*0-1-2-5-7-9-10*9-10-11*12-10-9-7-5-3-4*
3,11.43197936814958,130,0.5554376585433212,39.840160000000004,3,1,0,0,6-14-7*8-14-6-9-13*10-12-13-9-7*0-1-2-5-7-9-10*9-10-11*12-10-9-7-5-3-4*
4,11.441650548033527,125,0.5589665176056661,39.76047968,4,1,0,0,6-14-7*8-14-6-9-13*10-12-13-9-7*0-1-2-5-7-9-10*6-9-10-11*12-10-9-7-5-3-4*
5,11.441650548033527,127,0.5590916544518485,39.68095872064,5,1,0,0,6-14-7*8-14-6-9-13*12-13-9-7*0-1-2-5-7-9-10*6-9-10-11*12-10-9-7-5-3-4*
6,11.444874274661508,119,0.5590916544518485,39.60159680319872,6,1,0,0,6-14-7*8-14-6-9-13*12-13-9-7*0-1-2-5-7-9-10*14-6-9-10-11*12-10-9-7-5-3-4*
7,11.256608639587363,125,0.5592334762108553,39.52239360959232,7,1,0,0,6-14-7*8-14-6-9-13*12-13-9*0-1-2-5-7-9-10*14-6-9-10-11*12-10-9-7-5-3-4*
8,11.072211476466796,135,0.5817606112606176,39.44334882237314,8,1,0,0,6-14-7*8-14-6-9-13*12-13-9*0-1-2-5-7-9-10*14-6-9-10-11*12-10-9-7-5-3-4-1*
9,11.06254029658285,140,0.6029954998121361,39.36446212472839,9,1,0,0,6-14-7*8-14-6-9-13*12-13-9*0-1-2-5-7-9-10*14-6-9-10-11-3*12-10-9-7-5-3-4-1*
10,11.06254029658285,142,0.6040466493200687,39.28573320047894,10,1,0,0,6-14-7*8-14-6-9-13*10-12-13-9*0-1-2-5-7-9-10*14-6-9-10-11-3*12-10-9-7-5-3-4-1*
11,11.088330109606705,137,0.6040466493200687,39.20716173407798,11,1,0,0,6-14-7*8-14-6-9-13*10-12-13-9*0-1-2-5-7-9-10*7-14-6-9-10-11-3*12-10-9-7-5-3-4-1*
12,11.088330109606705,147,0.6040466493200687,39.20716173407798,11,2,0,0,6-14-7*8-14-6-9-13*10-12-13-9*0-1-2-5-7-9-10*7-14-6-9-10-11-3*10-9-7-5-3-4-1*
13,11.043197936814957,157,0.6040466493200687,39.20716173407798,11,3,0,0,6-14-7*8-14-6-9-13*10-12-13-9*0-1-2-5-7-9-10*7-14-6-9-10-11-3*11-10-9-7-5-3-4-1*
14,10.959381044487428,159,0.6057234830589133,39.12874741060982,12,1,0,0,6-14-7*8-14-6-9-13*11-10-12-13-9*0-1-2-5-7-9-10*7-14-6-9-10-11-3*11-10-9-7-5-3-4-1*
15,11.004513217279175,149,0.6127728587271906,39.050489915788596,13,1,0,0,6-14-7*8-14-6-9-13*11-10-12-13-9*0-1-2-5-7-9-10*5-7-14-6-9-10-11-3*11-10-9-7-5-3-4-1*
16,10.952933591231464,154,0.6134736250658122,38.97238893595702,14,1,0,0,6-14-7*8-14-6-9-13*10-12-13-9*0-1-2-5-7-9-10*5-7-14-6-9-10-11-3*11-10-9-7-5-3-4-1*
17,10.952933591231464,146,0.6143495829890893,38.89444415808511,15,1,0,0,6-14-7*8-14-6-9-13*10-12-13-9*0-1-2-5-7-9-10-12*5-7-14-6-9-10-11-3*11-10-9-7-5-3-4-1*
18,10.885235332043843,149,0.615108746522596,38.81665526976894,16,1,0,0,6-14-7*8-14-6-9-13*10-12-13*0-1-2-5-7-9-10-12*5-7-14-6-9-10-11-3*11-10-9-7-5-3-4-1*
19,10.817537072856222,151,0.621678430947174,38.7390219592294,17,1,0,0,6-14-7*8-14-6-9-13*10-12-13*0-1-2-5-7-9-10-12*2-5-7-14-6-9-10-11-3*11-10-9-7-5-3-4-1*
20,10.817537072856222,158,0.6280729237870966,38.661543915310936,18,1,0,0,6-14-7*8-14-6-9-13*10-12-13*0-1-2-5-7-9-10-12*1-2-5-7-14-6-9-10-11-3*11-10-9-7-5-3-4-1*
21,10.817537072856222,156,0.6280729237870966,38.584220827480316,19,1,0,0,9-6-14-7*8-14-6-9-13*10-12-13*0-1-2-5-7-9-10-12*1-2-5-7-14-6-9-10-11-3*11-10-9-7-5-3-4-1*
22,10.81431334622824,158,0.6280729237870966,38.507052385825354,20,1,0,0,9-6-14*8-14-6-9-13*10-12-13*0-1-2-5-7-9-10-12*1-2-5-7-14-6-9-10-11-3*11-10-9-7-5-3-4-1*
23,10.807865892972275,160,0.628348224848698,38.430038281053704,21,1,0,0,9-6-14*8-14-6-9-13*10-12-13*0-1-2-5-7-9-10-12-13*1-2-5-7-14-6-9-10-11-3*11-10-9-7-5-3-4-1*
24,10.807865892972275,168,0.6288821420590764,38.3531782044916,22,1,0,0,9-6-14*8-14-6-9-13-12*10-12-13*0-1-2-5-7-9-10-12-13*1-2-5-7-14-6-9-10-11-3*11-10-9-7-5-3-4-1*
25,10.875564152159896,166,0.6288821420590764,38.276471848082615,23,1,0,0,9-6-14*8-14-6-9-13-12*10-12-13-9*0-1-2-5-7-9-10-12-13*1-2-5-7-14-6-9-10-11-3*11-10-9-7-5-3-4-1*
